run_id,day,crew,power,food,life_support,shielding,power_consumed,food_consumed,life_support_consumed,status
a5d6667d-c123-48f5-8b53-7f8f921053a4,1,6,85,88,64,50,5,12,6,RUNNING
a5d6667d-c123-48f5-8b53-7f8f921053a4,2,6,75,76,55.0,60,5,12,6,RUNNING
a5d6667d-c123-48f5-8b53-7f8f921053a4,3,6,72,64,49.0,60,5,12,6,RUNNING
a5d6667d-c123-48f5-8b53-7f8f921053a4,4,6,57,72,43.0,60,5,12,6,RUNNING
a5d6667d-c123-48f5-8b53-7f8f921053a4,5,6,54,60,37.0,60,5,12,6,RUNNING
a5d6667d-c123-48f5-8b53-7f8f921053a4,6,6,36,48,31.0,60,5,12,6,RUNNING
a5d6667d-c123-48f5-8b53-7f8f921053a4,7,6,21,36,25.0,70,5,12,6,RUNNING
a5d6667d-c123-48f5-8b53-7f8f921053a4,8,6,6,24,29.0,70,5,12,6,RUNNING
a5d6667d-c123-48f5-8b53-7f8f921053a4,9,6,0,12,20.0,70,5,12,6,RUNNING
